! Spherical Harmonic Discrete Ordinate Radiative Transfer Output
!  L= 11  M= 11  NLM=   78   NMU= 12  NPHI= 24  NANG=  114   NSH=    150529
!  NX=  64   NY=   1   NZ=  30    NPTS=    3867   NCELLS=    5040
!  PROPERTY_FILE=les2y21w16.prp                  
!  CORRELATED_K-DIST_FILE=NONE                               NUM_G= 1
!  INPUT_SAVE_FILE=NONE                            
!  OUTPUT_SAVE_FILE=NONE                            
!  SOURCE_TYPE=SOLAR               DELTA-M METHOD
!  GRID_TYPE=EVEN (X,Y)    PROPERTY-FILE (Z)    INDEPENDENT_PIXEL=2
!  SURFACE_TYPE=FIXED LAMBERTIAN       HORIZ_BOUNDARY_COND=0
!  GROUND_ALBEDO=0.0400000  SKY_RAD= 0.00000E+00
!  SOLAR_FLUX= 0.100000E+01   SOLAR_MU=-0.5000000   SOLAR_AZ=   0.000
!  UNITS=WATTS/(M^2 MICRON)         WAVELENGTH=      1.65
!  SPLITTING_ACCURACY= 0.300E-01   SPHERICAL_HARMONIC_ACCURACY= 0.300E-02
!  SOLUTION_ACCURACY= 0.100E-03
!  MAXIMUM_ITERATIONS= 100   NUMBER_ITERATIONS=  24
!  OUTPUT_TYPE=FLUX                
!   X       Y       Z           UP       DOWN_DIFFUSE   DOWN_DIRECT
   0.330   0.000   0.850    0.32563E+00   0.00000E+00   0.10000E+01
   0.330   0.000   0.900    0.33833E+00   0.00000E+00   0.10000E+01
   0.330   0.000   0.950    0.34169E+00   0.00000E+00   0.10000E+01
   0.330   0.000   1.000    0.34426E+00   0.00000E+00   0.10000E+01
   0.385   0.000   0.000    0.17851E-01   0.44391E+00   0.14067E-04
   0.385   0.000   0.050    0.17746E-01   0.44430E+00   0.99481E-04
   0.385   0.000   0.100    0.17833E-01   0.44833E+00   0.17066E-03
   0.385   0.000   0.150    0.17950E-01   0.45564E+00   0.90479E-03
   0.385   0.000   0.200    0.18028E-01   0.46279E+00   0.52213E-03
   0.385   0.000   0.250    0.18138E-01   0.46609E+00   0.30955E-03
   0.385   0.000   0.300    0.18285E-01   0.46686E+00   0.90068E-02
   0.385   0.000   0.350    0.18456E-01   0.47149E+00   0.48106E-02
   0.385   0.000   0.400    0.18578E-01   0.47962E+00   0.44539E-02
   0.385   0.000   0.425    0.18648E-01   0.48379E+00   0.13779E-01
   0.385   0.000   0.450    0.18777E-01   0.48651E+00   0.19566E-01
   0.385   0.000   0.475    0.19083E-01   0.49250E+00   0.12730E-01
   0.385   0.000   0.500    0.19639E-01   0.49927E+00   0.86161E-02
   0.385   0.000   0.525    0.20402E-01   0.50028E+00   0.56196E-02
   0.385   0.000   0.550    0.21491E-01   0.50469E+00   0.91173E-02
   0.385   0.000   0.575    0.23191E-01   0.51943E+00   0.15082E-01
   0.385   0.000   0.600    0.26737E-01   0.53510E+00   0.19094E-01
   0.385   0.000   0.625    0.50524E-01   0.55631E+00   0.35334E-01
   0.385   0.000   0.650    0.10622E+00   0.66451E+00   0.18419E+00
   0.385   0.000   0.675    0.20149E+00   0.70000E+00   0.48789E+00
   0.385   0.000   0.700    0.28659E+00   0.53610E+00   0.55755E+00
